Weight,Length,Jenis
242,30,1
290,31.2,1
340,31.1,1
363,33.5,1
430,34,1
450,34.7,1
500,34.5,1
390,35,1
450,35.1,1
500,36.2,1
475,36.2,1
500,36.2,1
500,36.4,1
340,37.3,1
600,37.2,1
600,37.2,1
700,38.3,1
700,38.5,1
610,38.6,1
650,38.7,1
575,39.5,1
685,39.2,1
620,39.7,1
680,40.6,1
700,40.5,1
725,40.9,1
720,40.6,1
714,41.5,1
850,41.6,1
1000,42.6,1
920,44.1,1
955,44,1
925,45.3,1
975,45.9,1
950,46.5,1
300,30.1,1
320,31.6,1
514,34,1
556,36.5,1
840,37.3,1
685,39,1
700,38.3,1
700,39.4,1
690,39.3,1
900,41.4,1
650,41.4,1
820,41.3,1
850,42.3,1
900,42.5,1
1015,42.4,1
820,42.5,1
1100,44.6,1
1000,45.2,1
1100,45.5,1
1000,46,1
1000,46.6,1
200,34.8,1
300,37.8,1
300,38.8,1
300,39.8,1
430,40.5,1
345,41,1
456,45.5,1
510,45.5,1
540,45.8,1
500,48,1
567,48.7,1
770,51.2,1
950,55.1,1
1250,59.7,1
1600,64,1
1550,64,1
1650,68,1
40,16.2,0
69,20.3,0
78,21.2,0
87,22.2,0
120,22.2,0
110,23.1,0
120,23.7,0
150,24.7,0
145,24.3,0
160,25.3,0
140,25,0
160,25,0
169,27.2,0
161,26.7,0
200,26.8,0
180,27.9,0
290,29.2,0
272,30.6,0
390,35,0
270,28.7,0
270,29.3,0
306,30.8,0
540,34,0
800,39.6,0
1000,43.5,0
55,16.5,0
60,17.4,0
90,19.8,0
120,21.3,0
150,22.4,0
140,23.2,0
170,23.2,0
145,24.1,0
200,25.8,0
273,28,0
300,29,0
5.9,8.8,0
32,14.7,0
40,16,0
51.5,17.2,0
70,18.5,0
100,19.2,0
78,19.4,0
80,20.2,0
85,20.8,0
85,21,0
110,22.5,0
115,22.5,0
125,22.5,0
130,22.8,0
120,23.5,0
120,23.5,0
130,23.5,0
135,23.5,0
110,23.5,0
130,24,0
150,24,0
145,24.2,0
150,24.5,0
170,25,0
225,25.5,0
145,25.5,0
188,26.2,0
180,26.5,0
197,27,0
218,28,0
300,28.7,0
260,28.9,0
265,28.9,0
250,28.9,0
250,29.4,0
6.7,10.8,0
7.5,11.6,0
7,11.6,0
9.7,12,0
9.8,12.4,0
8.7,12.6,0
10,13.1,0
9.9,13.1,0
9.8,13.2,0
12.2,13.4,0
13.4,13.5,0
12.2,13.8,0
19.7,15.2,0
19.9,16.2,0
